cc_iso3c,indicator,value
IRL,ind_int,0.6897882703845797
IRL,ind_opn,0.4849773726204523
IRL,ind_pol,0.6698212407991588
IRL,ind_pro,0.6021744443886157
IRL,ind_reg,0.1530255877161659
IRL,ind_tax,0.8931966947029387
IRL,incise_index,0.6286565175735743
AUT,ind_cap,0.556875367330477
AUT,ind_crm,0.6103169674556302
AUT,ind_dig,0.9724817655396816
AUT,ind_ffm,0.592033769719804
AUT,ind_hrm,0.5064157975724425
AUT,ind_inc,0.7574276877814532
AUT,ind_int,0.7317878371788911
AUT,ind_opn,0.6303307331592588
AUT,ind_pol,0.3929197336137399
AUT,ind_pro,0.6147110922876635
AUT,ind_reg,0.48493155024836
AUT,ind_tax,0.7605042674699579
AUT,incise_index,0.6197549768038616
FRA,ind_cap,0.41470526571650834
FRA,ind_crm,0.7731510249882091
FRA,ind_dig,0.5946775816552075
FRA,ind_ffm,0.7305873742200615
FRA,ind_hrm,0.8249640169673118
FRA,ind_inc,0.46047322363848886
FRA,ind_int,0.6778609552912362
FRA,ind_opn,0.8464638418062108
FRA,ind_pol,0.609533824044865
FRA,ind_pro,0.6202311354570968
FRA,ind_reg,0.35991833325990275
FRA,ind_tax,0.5527026639857929
FRA,incise_index,0.6134832154707993
ESP,ind_cap,0.6168364744734464
ESP,ind_crm,0.8172778125298149
ESP,ind_dig,0.8205117587600549
ESP,ind_ffm,0.7227850955791714
ESP,ind_hrm,0.5118733841194687
ESP,ind_inc,0.6262516344062493
ESP,ind_int,0.5896095992243519
ESP,ind_opn,0.61747293468199
ESP,ind_pol,0.6028741675429373
ESP,ind_pro,0.4944027213781121
ESP,ind_reg,0.27227373907812286
ESP,ind_tax,0.7404584770080004
ESP,incise_index,0.5979908496080772
BEL,ind_cap,0.4981954977022025
BEL,ind_crm,0.6920240323112185
BEL,ind_dig,0.6472897619309077
BEL,ind_ffm,0.3472140761088162
BEL,ind_hrm,0.7560834557561475
BEL,ind_inc,0.6697116581369934
BEL,ind_int,0.6870064202749298
BEL,ind_opn,0.4869784958522656
BEL,ind_pol,0.6905012267788294
BEL,ind_pro,0.5079366505581616
BEL,ind_reg,0.25960611908152853
BEL,ind_tax,0.6531558503576635
BEL,incise_index,0.5181720248904672
DEU,ind_cap,0.5411967840874379
DEU,ind_crm,0
DEU,ind_dig,0.7315596024840414
DEU,ind_ffm,0.8245121550969247
DEU,ind_hrm,0.6794887430749189
DEU,ind_inc,0.7590249869488299
DEU,ind_int,0.7786717924142
DEU,ind_opn,0.6741712306035362
DEU,ind_pol,0.3648790746582546
DEU,ind_pro,0.31228301613377063
DEU,ind_reg,0.6970416004043598
DEU,ind_tax,0.37484098428432927
DEU,incise_index,0.4986424324262602
LTU,ind_cap,0.2908033214167908
LTU,ind_crm,0.593204890786959
LTU,ind_dig,0.8412572629351593
LTU,ind_ffm,0.6162814661516733
LTU,ind_hrm,0.6139207897974333
LTU,ind_inc,0.4595190556572947
LTU,ind_int,0.4990550745483277
LTU,ind_opn,0.4057570145269563
LTU,ind_pol,0.6855941114616194
LTU,ind_pro,0.4772685530895957
LTU,ind_reg,0.519451872137051
LTU,ind_tax,0.6328004030066989
LTU,incise_index,0.4908523393299859
MEX,ind_cap,0.4889287931581656
MEX,ind_crm,0.6009944071494594
MEX,ind_dig,0.5856174162449412
MEX,ind_ffm,0.8002820630646272
MEX,ind_hrm,0.13173976237872814
MEX,ind_inc,0.5829209292839558
MEX,ind_int,0
MEX,ind_opn,0.5525749785069233
MEX,ind_pol,0.5250613389414651
MEX,ind_pro,0.5897097505380846
MEX,ind_reg,0.8653495039076831
MEX,ind_tax,0.7375522037955083
MEX,incise_index,0.47373062854430864
CHL,ind_cap,0.587338470040585
CHL,ind_crm,0.5520198893300619
CHL,ind_dig,0.6013401451285562
CHL,ind_ffm,0.4769086571409024
CHL,ind_hrm,0.555182833223597
CHL,ind_inc,0.6470354133429576
CHL,ind_int,0.5382717461797135
CHL,ind_opn,0.48446719361329127
CHL,ind_pol,0.8030143708377148
CHL,ind_pro,0.6612535175875552
CHL,ind_reg,0.2659115116041448
CHL,ind_tax,0.4109203013282439
CHL,incise_index,0.4713872752437796
LVA,ind_cap,0.6649318315796057
LVA,ind_crm,0.4624818747163992
LVA,ind_dig,0.9764045442545746
LVA,ind_ffm,0.2598626483091687
LVA,ind_hrm,0.48300313394390665
LVA,ind_inc,0.7298006274864138
LVA,ind_int,0.4690309102967245
LVA,ind_opn,0.4532014743951112
LVA,ind_pol,0.7570977917981072
LVA,ind_pro,0.48045436756620274
LVA,ind_reg,0.17939980405361414
LVA,ind_tax,0.6328184103631475
LVA,incise_index,0.45705554778051327
JPN,ind_cap,0.47721630342183086
JPN,ind_crm,0.6478972446971039
JPN,ind_dig,0.6897513099454611
JPN,ind_ffm,0.4740963731382756
JPN,ind_hrm,0.9170540089452964
JPN,ind_inc,0
JPN,ind_int,0.6530795046749786
JPN,ind_opn,0.6827525298138127
JPN,ind_pol,0.6484402383456012
JPN,ind_pro,0.4470872087570054
JPN,ind_reg,0.41249412711668354
JPN,ind_tax,0.4015387300683169
JPN,incise_index,0.45476179750191886
ITA,ind_cap,0.39049300147750887
ITA,ind_crm,0.6954630220224489
ITA,ind_dig,0.6637154328915165
ITA,ind_ffm,0.42098583279567087
ITA,ind_hrm,0.5855138169520061
ITA,ind_inc,0.6301692887076842
ITA,ind_int,0.15139927303820885
ITA,ind_opn,0.4726952706938619
ITA,ind_pol,0.45846477392218726
ITA,ind_pro,0.6919370395791952
ITA,ind_reg,0.5996505244582294
ITA,ind_tax,0.4274296518855409
ITA,incise_index,0.41669531559603346
SVN,ind_cap,0.6879648255920634
SVN,ind_crm,0.7924176518169431
SVN,ind_dig,0.43077694797516936
SVN,ind_ffm,0.6902220615324524
SVN,ind_hrm,0.6075353318212647
SVN,ind_inc,0.7902751477333381
SVN,ind_int,0.5353412881969302
SVN,ind_opn,0.4212954339985207
SVN,ind_pol,0
SVN,ind_pro,0.2710035363641614
SVN,ind_reg,0.28991223235625657
SVN,ind_tax,0.47857584556129373
SVN,incise_index,0.3670193002466866
ISR,ind_cap,0.4837325140591592
ISR,ind_crm,0.5662730484661003
ISR,ind_dig,0.7144199083987692
ISR,ind_ffm,0
ISR,ind_hrm,0.6455530957137104
ISR,ind_inc,0.5170830023813757
ISR,ind_int,0.4505073978639347
ISR,ind_opn,0.42093147445736345
ISR,ind_pol,0.5208552400981423
ISR,ind_pro,0.8196334662360509
ISR,ind_reg,0.31654027183616523
ISR,ind_tax,0.2695923691542671
ISR,incise_index,0.32872450187573554
POL,ind_cap,0.7265076082478796
POL,ind_crm,0.26724673986038755
POL,ind_dig,0.4723892279038529
POL,ind_ffm,0.5704106175659732
POL,ind_hrm,0.4563671693298117
POL,ind_inc,0.8840870293269575
POL,ind_int,0.5556718009992052
POL,ind_opn,0.3808736658310693
POL,ind_pol,0.4679284963196635
POL,ind_pro,0.33186425323469465
POL,ind_reg,0.28709708609372625
POL,ind_tax,0
POL,incise_index,0.2818922138614067
ISL,ind_cap,0.5999318704771258
ISL,ind_crm,0.6280919834980245
