"cc_iso3c","indicator","value","rank_value","value_label","hover_label","colour_group","text_colour","text_weight"
"AUS","incise_index",0.8725648099595219,5,"0.87","AUS: 0.87","#dddddd","#444444","normal"
"DNK","ind_cap",0.8835570029915676,3,"0.88","DNK: 0.88","#009d94","#009d94","bold"
"DNK","ind_crm",0.3501139428581305,36,"0.35","DNK: 0.35","#dddddd","#444444","normal"
"DNK","ind_dig",0.9767075210507432,2,"0.98","DNK: 0.98","#009d94","#009d94","bold"
"DNK","ind_ffm",0.673343377499003,19,"0.67","DNK: 0.67","#dddddd","#444444","normal"
"DNK","ind_hrm",0.7616937372611576,10,"0.76","DNK: 0.76","#dddddd","#444444","normal"
"DNK","ind_inc",0.4517413613647379,33,"0.45","DNK: 0.45","#dddddd","#444444","normal"
"DNK","ind_int",0.8441838859437496,3,"0.84","DNK: 0.84","#009d94","#009d94","bold"
"DNK","ind_opn",0.9356771562192746,2,"0.94","DNK: 0.94","#009d94","#009d94","bold"
"DNK","ind_pol",0.9600420609884333,2,"0.96","DNK: 0.96","#009d94","#009d94","bold"
"DNK","ind_pro",0.9403929126169154,2,"0.94","DNK: 0.94","#009d94","#009d94","bold"
"DNK","ind_reg",0.6063417531597391,11,"0.61","DNK: 0.61","#dddddd","#444444","normal"
"DNK","ind_tax",0.6746875547827406,12,"0.67","DNK: 0.67","#dddddd","#444444","normal"
"DNK","incise_index",0.8449329100598051,6,"0.84","DNK: 0.84","#dddddd","#444444","normal"
"NOR","ind_cap",0.7090283915738099,11,"0.71","NOR: 0.71","#dddddd","#444444","normal"
"NOR","ind_crm",0.6793039153993559,18,"0.68","NOR: 0.68","#dddddd","#444444","normal"
"NOR","ind_dig",0.8785666943652992,6,"0.88","NOR: 0.88","#dddddd","#444444","normal"
"NOR","ind_ffm",0.7089118425666,15,"0.71","NOR: 0.71","#dddddd","#444444","normal"
"NOR","ind_hrm",0.6943684703840695,13,"0.69","NOR: 0.69","#dddddd","#444444","normal"
"NOR","ind_inc",0.7118484081639314,16,"0.71","NOR: 0.71","#dddddd","#444444","normal"
"NOR","ind_int",0.824364081624495,5,"0.82","NOR: 0.82","#009d94","#009d94","bold"
"NOR","ind_opn",1,1,"1.00","NOR: 1.00","#009d94","#009d94","bold"
"NOR","ind_pol",0.807570977917981,8,"0.81","NOR: 0.81","#dddddd","#444444","normal"
"NOR","ind_pro",0.5545015819791491,18,"0.55","NOR: 0.55","#dddddd","#444444","normal"
"NOR","ind_reg",0.5624709159335073,14,"0.56","NOR: 0.56","#dddddd","#444444","normal"
"NOR","ind_tax",0.7659558279340846,4,"0.77","NOR: 0.77","#009d94","#009d94","bold"
"NOR","incise_index",0.8286484079616708,7,"0.83","NOR: 0.83","#dddddd","#444444","normal"
